match_id,player_id,started,minutes_played,goals,assists,shots,shots_on_target,passes_completed,passes_attempted,progressive_passes,key_passes,progressive_carries,tackles,interceptions,blocks,yellow_cards,red_cards,saves,xg,xag,pass_pct,save_pct,psxg
ARG_20221203_Australia,54,False,71,1,0,1,1,15,17,0,0,0,2,0,3,0,0,0,0.281,0.0,,,
ARG_20221203_Australia,35,False,90,0,0,0,0,94,100,0,0,0,3,1,2,0,0,0,0.0,0.0,,,
ARG_20221130_Poland,15,False,90,0,0,0,0,89,93,0,0,0,1,1,1,0,0,0,0.0,0.0,,,
ARG_20221130_Poland,41,False,90,0,0,7,4,59,70,0,4,0,1,0,1,0,0,0,1.163,0.0,,,
ARG_20221130_Poland,23,False,32,0,0,1,1,38,38,0,1,0,0,0,0,0,0,0,0.224,0.0,,,
ARG_20221130_Poland,16,False,12,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20221130_Poland,33,False,90,0,0,1,1,142,153,0,1,0,2,3,0,0,0,0,0.315,0.0,,,
ARG_20221130_Poland,52,False,12,0,0,1,0,10,11,0,0,0,0,0,0,0,0,0,0.18,0.0,,,
ARG_20221130_Poland,27,False,32,0,0,0,0,77,80,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20221130_Poland,22,False,58,0,0,2,0,35,43,0,0,0,1,0,3,1,0,0,0.076,0.0,,,
ARG_20221130_Poland,18,False,90,0,0,0,0,67,76,0,0,0,1,1,0,0,0,0,0.0,0.0,,,
ARG_20221130_Poland,28,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20221130_Poland,14,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20221130_Poland,36,False,82,1,0,2,2,50,54,0,3,0,2,0,2,0,0,0,0.238,0.0,,,
ARG_20221130_Poland,8,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20221130_Poland,34,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20221130_Poland,43,False,8,0,0,0,0,12,13,0,1,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20221130_Poland,9,False,90,0,1,0,0,71,78,0,1,0,3,0,4,0,0,0,0.0,0.0,,,
ARG_20221130_Poland,54,False,78,1,0,6,3,20,24,0,0,0,1,0,1,0,0,0,0.811,0.0,,,
ARG_20221130_Poland,35,False,78,0,1,1,0,86,93,0,1,0,2,2,0,0,0,0,0.025,0.0,,,
ARG_20221126_Mexico,15,False,90,0,0,0,0,76,84,0,0,0,2,1,2,0,0,0,0.0,0.0,,,
ARG_20221126_Mexico,41,False,90,1,1,2,1,38,45,0,0,0,1,0,0,0,0,0,0.101,0.0,,,
ARG_20221126_Mexico,23,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20221126_Mexico,16,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20221126_Mexico,33,False,90,0,0,0,0,59,70,0,0,0,3,0,2,0,0,0,0.0,0.0,,,
ARG_20221126_Mexico,52,False,62,0,0,1,0,3,7,0,0,0,0,0,1,0,0,0,0.138,0.0,,,
ARG_20221126_Mexico,27,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20221126_Mexico,22,False,90,0,0,0,0,28,37,0,1,0,2,1,3,0,0,0,0.0,0.0,,,
ARG_20221126_Mexico,18,False,22,0,0,0,0,3,4,0,0,0,0,1,0,0,0,0,0.0,0.0,,,
ARG_20221126_Mexico,28,False,56,0,0,0,0,54,62,0,0,0,2,0,1,0,0,0,0.0,0.0,,,
ARG_20221126_Mexico,14,False,90,0,0,0,0,48,56,0,0,0,3,1,1,0,0,0,0.0,0.0,,,
ARG_20221126_Mexico,36,False,68,0,0,0,0,34,38,0,0,0,2,1,1,0,0,0,0.0,0.0,,,
ARG_20221126_Mexico,8,False,62,0,0,0,0,49,53,0,0,0,0,0,2,1,0,0,0.0,0.0,,,
ARG_20221126_Mexico,34,False,22,0,0,0,0,6,6,0,0,0,1,0,1,0,0,0,0.0,0.0,,,
ARG_20221126_Mexico,43,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20221126_Mexico,9,False,28,0,0,1,0,10,13,0,0,0,1,0,0,0,0,0,0.051,0.0,,,
ARG_20221126_Mexico,54,False,28,0,0,0,0,6,8,0,0,0,0,0,1,0,0,0,0.0,0.0,,,
ARG_20221126_Mexico,35,False,34,1,0,1,1,23,28,0,0,0,1,0,1,0,0,0,0.035,0.0,,,
ARG_20221213_Croatia,15,False,90,0,0,0,0,39,41,0,0,0,3,2,3,1,0,0,0.0,0.0,,,
ARG_20221213_Croatia,41,False,90,1,1,2,2,34,41,0,1,0,0,0,0,0,0,0,0.889,0.0,,,
ARG_20221213_Croatia,23,False,90,0,0,0,0,24,30,0,0,0,1,0,6,0,0,0,0.0,0.0,,,
ARG_20221213_Croatia,16,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20221213_Croatia,33,False,73,0,0,1,0,34,42,0,1,0,1,0,0,0,0,0,0.028,0.0,,,
ARG_20221213_Croatia,52,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
